country_name,country_code,percentage
Aruba,ABW, 88.66122693
Andorra,AND, 96.91
Afghanistan,AFG, 8.26
Angola,AGO, 12.4
Albania,ALB, 63.2529327
Arab World,ARB, 39.52615407
United Arab Emirates,ARE, 91.24340578
Argentina,ARG, 69.40092102
Armenia,ARM, 58.24933222
American Samoa,ASM, 
Antigua and Barbuda,ATG, 65.2
Australia,AUS, 84.56051935
Austria,AUT, 83.9263
Azerbaijan,AZE, 77
Burundi,BDI, 4.866224464
Belgium,BEL, 85.0529
Benin,BEN, 6.787702956
Burkina Faso,BFA, 11.38764617
Bangladesh,BGD, 14.4
Bulgaria,BGR, 56.6563
Bahrain,BHR, 93.47830114
"Bahamas, The",BHS, 78
Bosnia and Herzegovina,BIH, 65.0655028
Belarus,BLR, 62.23036091
Belize,BLZ, 41.59
Bermuda,BMU, 98.32360965
Bolivia,BOL, 45.1
Brazil,BRA, 59.07947791
Barbados,BRB, 76.11
Brunei Darussalam,BRN, 71.2
Bhutan,BTN, 39.8
Botswana,BWA, 27.5
Central African Republic,CAF, 4.563264352
Canada,CAN, 88.47
Central Europe and the Baltics,CEB, 68.15658622
Switzerland,CHE, 87.97
Channel Islands,CHI, 
Chile,CHL, 64.289
China,CHN, 50.3
Cote d'Ivoire,CIV, 21
Cameroon,CMR, 20.68014766
"Congo, Rep.",COG, 7.615974662
Colombia,COL, 55.90497251
Comoros,COM, 7.459161386
Cabo Verde,CPV, 43.01962636
Costa Rica,CRI, 59.76295014
Caribbean small states,CSS, 51.91699952
Cuba,CUB, 31.10797021
Curacao,CUW, 
Cayman Islands,CYM, 77
Cyprus,CYP, 71.7159
Czech Republic,CZE, 81.2986
Germany,DEU, 87.5898
Djibouti,DJI, 11.92243143
Dominica,DMA, 67.6
Denmark,DNK, 96.3305
Dominican Republic,DOM, 51.93023274
Algeria,DZA, 38.2
East Asia & Pacific (excluding high income),EAP, 44.98204897
Early-demographic dividend,EAR, 29.79234255
East Asia & Pacific,EAS, 49.82471578
